word,x_values,y_values,count
need,3.939999,-0.03784759,238
know,3.1169963,-0.28908768,200
awesome,2.9980173,-0.17748371,135
design,3.8428292,-0.2193666,143
free,4.4471164,-0.4372165,388
year,3.7379053,-0.35454988,168
great,4.1511583,-0.22871932,222
marissa,3.0538046,-0.61533594,185
mayer,3.4700887,-0.5993473,211
tech,3.0840678,0.0062665837,167
apps,4.0572357,-0.1038501,226
around,2.9955199,-0.10489845,131
good,3.762804,-0.027145028,177
time,4.347983,-0.12852542,306
android,4.820138,-0.24147354,598
show,4.017636,-0.21843404,140
still,2.4960742,-0.24849881,107
find,2.1390183,-0.052766684,89
party,4.628952,-0.3055183,401
come,3.591481,-0.41099754,229
game,4.43436,0.08228416,153
best,3.6552336,-0.29877335,146
love,3.1303666,-0.29937693,146
case,3.3824713,-0.19622706,122
check,3.7830577,-0.28297678,266
itunes,2.0266805,-0.27294132,98
store,4.1489377,-0.57025033,1528
coming,2.5055299,0.047281783,104
user,3.8839295,-0.390901,156
hour,2.592913,-0.21591073,89
people,3.8059685,-0.18459016,231
event,2.9358845,-0.041194253,105
really,2.6699283,0.04262671,111
photo,2.0242183,-0.09234452,105
austin,2.361824,-0.24514458,112
look,3.0001428,-0.19080539,152
like,5.0412045,-0.22488888,308
going,3.4216986,-0.23608786,220
update,2.0395284,-0.037918143,92
right,3.2755148,-0.08687474,121
team,2.6935298,-0.14902371,104
anyone,1.8336881,-0.2994198,118
want,3.5858142,-0.26765382,177
launch,3.0181472,3.1209772,683
major,2.527426,3.4652317,297
social,3.805127,4.1441097,663
network,3.2165751,4.2585154,467
called,3.104205,3.9995928,354
circle,3.6691115,3.9206965,587
possibly,2.2805653,3.234166,237
today,3.4819539,3.0707464,577
first,3.3595448,-0.1698361,168
line,3.60722,-0.49972948,448
music,3.269155,-0.3616415,150
circles,1.3812013,1.2189109,98
downtown,1.2458322,0.011523955,224
mobile,3.9299507,-0.47619992,350
blackberry,2.1151643,-0.19392534,98
think,3.7399507,-0.103819504,175
take,2.408427,-0.13039957,108
make,4.2176995,-0.14498289,177
using,3.4803286,-0.26582494,115
video,3.242262,-0.02686104,134
open,2.664892,-0.50958467,255
opening,1.3732134,-0.069731094,256
say,3.5530725,0.071594246,114
location,3.4742107,-0.43795183,147
future,2.4170702,-0.2176151,102
world,2.1666305,-0.17221934,92
tweet,3.7668462,-0.14257771,138
panel,4.0317335,-0.1817015,159
talk,3.8638027,-0.16007884,144
search,3.8062718,-0.060391903,155
heard,1.6819625,-0.34919235,95
would,3.5612574,-0.19978277,126
map,3.4729238,-0.5245735,216
news,3.619688,0.45555645,171
last,3.2047055,-0.23006707,125
phone,3.349608,-0.33455285,127
launching,1.6729921,1.06968,108
popup,2.2823477,-0.5566814,211
thing,3.1932237,-0.17309587,128
thanks,3.0028043,-0.14166467,141
japan,3.9188693,-0.05197056,116
next,3.4911082,-0.13129471,151
temporary,1.4831319,-0.15101595,265
congress,1.5732163,-0.26950023,103
twitter,2.9376717,0.045016844,100
cool,3.1233003,-0.23085985,151
download,2.2334042,-0.3170542,113
facebook,2.8535748,0.42423373,98
week,2.5713828,-0.06600733,104
rumor,1.336168,0.3913499,131
technology,1.8484683,-0.26328763,92
product,4.0170317,0.30361933,167
shop,2.7920928,-0.5912762,145
even,2.5911548,-0.0679511,108
bing,3.1502974,-0.23832938,115
booth,2.9012182,-0.1280195,103
session,3.321467,-0.16028799,125
